temps manip (heures),debitCO2 (g)
0.05,0.009
0.39,0.011
0.72,0.01
1.05,0.012
1.39,0.012
1.72,0.009
2.05,0.013
2.39,0.011
2.72,0.011
3.05,0.012
3.39,0.012
3.72,0.01
4.05,0.013
4.39,0.013
4.72,0.011
5.05,0.014
5.39,0.013
5.72,0.013
6.05,0.014
6.39,0.014
6.72,0.014
7.05,0.015
7.39,0.013
7.72,0.016
8.05,0.016
8.39,0.014
8.72,0.017
9.05,0.016
9.39,0.017
9.72,0.018
10.05,0.016
10.39,0.018
10.72,0.018
11.05,0.02
11.39,0.019
11.72,0.018
12.05,0.021
12.39,0.022
12.72,0.02
13.05,0.022
13.39,0.024
13.72,0.022
14.05,0.023
14.39,0.027
14.72,0.026
15.05,0.027
15.39,0.028
15.72,0.03
16.05,0.031
16.39,0.031
16.72,0.035
17.05,0.033
17.39,0.038
17.72,0.039
18.05,0.04
18.39,0.046
18.72,0.05
19.05,0.052
19.39,0.057
19.72,0.064
20.07,0.071
20.4,0.083
20.74,0.09
21.07,0.107
21.4,0.129
21.74,0.143
22.07,0.165
22.4,0.183
22.74,0.205
23.07,0.214
23.4,0.227
23.74,0.243
24.07,0.25
24.4,0.255
24.74,0.21
25.07,0.231
25.4,0.269
25.74,0.31
26.07,0.326
26.4,0.346
26.74,0.363
27.07,0.361
27.4,0.349
27.74,0.382
28.07,0.389
28.4,0.394
28.74,0.396
29.07,0.429
29.4,0.402
29.74,0.442
30.07,0.483
30.4,0.452
30.74,0.475
31.07,0.463
31.4,0.57
31.74,0.677
32.07,0.516
32.4,0.535
32.74,0.542
33.07,0.531
33.4,0.557
33.74,0.564
34.07,0.57
34.4,0.566
34.74,0.542
35.07,0.56
35.4,0.6
35.74,0.557
36.07,0.569
36.4,0.606
36.74,0.581
37.07,0.58
37.4,0.603
37.74,0.602
38.07,0.573
38.4,0.588
38.74,0.593
39.07,0.593
39.4,0.581
39.74,0.591
40.07,0.559
40.4,0.564
40.74,0.561
41.07,0.553
41.4,0.553
41.74,0.552
42.07,0.562
42.4,0.526
42.74,0.491
43.07,0.569
43.4,0.534
43.74,0.549
44.07,0.541
44.4,0.555
44.74,0.532
45.07,0.541
45.4,0.542
45.74,0.517
46.07,0.491
46.4,0.537
46.74,0.514
47.07,0.542
47.4,0.542
47.74,0.523
48.07,0.52
48.4,0.549
48.74,0.533
49.07,0.526
49.4,0.518
49.74,0.494
50.07,0.511
50.4,0.526
50.74,0.525
51.07,0.503
51.4,0.514
51.74,0.496
52.07,0.51
52.4,0.5
52.74,0.48
53.07,0.473
53.4,0.495
53.74,0.489
54.07,0.484
54.4,0.481
54.74,0.498
55.07,0.486
55.4,0.497
55.74,0.496
56.07,0.485
56.4,0.474
56.74,0.489
57.07,0.479
57.4,0.481
57.74,0.49
58.09,0.476
58.42,0.478
58.75,0.484
59.09,0.471
59.42,0.482
59.75,0.493
60.09,0.478
60.42,0.481
60.75,0.472
61.09,0.462
61.42,0.462
61.75,0.456
62.09,0.468
62.42,0.479
62.75,0.474
63.09,0.439
63.42,0.405
63.75,0.439
64.09,0.463
64.42,0.449
64.75,0.433
65.09,0.47
65.42,0.462
65.75,0.465
66.09,0.439
66.42,0.465
66.75,0.491
67.09,0.358
67.42,0.452
67.75,0.436
68.09,0.44
68.42,0.45
68.75,0.437
69.09,0.436
69.42,0.433
69.75,0.437
70.09,0.441
70.42,0.421
70.75,0.426
71.09,0.43
71.42,0.435
71.75,0.42
72.09,0.417
72.42,0.449
72.75,0.434
73.09,0.412
73.42,0.371
73.75,0.384
74.09,0.428
74.42,0.423
74.75,0.42
75.09,0.405
75.42,0.409
75.75,0.413
76.09,0.411
76.42,0.415
76.75,0.401
77.09,0.387
77.42,0.397
77.75,0.412
78.09,0.405
78.42,0.4
78.75,0.41
79.09,0.408
79.42,0.401
79.75,0.403
80.09,0.4
80.42,0.398
80.75,0.408
81.09,0.405
81.42,0.391
81.75,0.4
82.09,0.389
82.42,0.398
82.75,0.405
83.09,0.387
83.42,0.392
83.75,0.398
84.09,0.367
84.42,0.386
84.75,0.39
85.09,0.391
85.42,0.386
85.75,0.39
86.09,0.394
86.42,0.395
86.75,0.382
87.09,0.366
87.42,0.349
87.75,0.381
88.09,0.391
88.42,0.398
88.75,0.39
89.09,0.374
89.42,0.385
89.75,0.381
90.09,0.388
90.42,0.365
90.75,0.341
91.09,0.368
91.42,0.381
91.75,0.383
92.09,0.375
92.42,0.377
92.75,0.372
93.09,0.377
93.42,0.373
93.75,0.372
94.09,0.371
94.42,0.354
94.75,0.362
95.09,0.375
95.42,0.368
95.75,0.352
96.1,0.374
96.44,0.363
96.77,0.37
97.1,0.37
97.44,0.362
97.77,0.354
98.1,0.365
98.44,0.364
98.77,0.355
99.1,0.353
99.44,0.36
99.77,0.36
100.1,0.367
100.44,0.354
100.77,0.362
101.1,0.37
101.44,0.36
101.77,0.366
102.1,0.351
102.44,0.342
102.77,0.34
103.1,0.368
103.44,0.37
103.77,0.344
104.1,0.345
104.44,0.347
104.77,0.332
105.1,0.352
105.44,0.343
105.77,0.362
106.1,0.345
106.44,0.34
106.77,0.338
107.1,0.36
107.44,0.324
107.77,0.339
108.1,0.354
108.44,0.343
108.77,0.35
109.1,0.338
109.44,0.358
109.77,0.334
110.1,0.33
110.44,0.357
110.77,0.336
111.1,0.325
111.44,0.314
111.77,0.333
112.1,0.342
112.44,0.324
112.77,0.333
113.1,0.324
113.44,0.333
113.77,0.328
114.1,0.32
114.44,0.312
114.77,0.303
115.1,0.337
115.44,0.334
115.77,0.319
116.1,0.305
116.44,0.323
116.77,0.326
117.1,0.312
117.44,0.323
117.77,0.311
118.1,0.278
118.44,0.251
118.77,0.3
119.1,0.314
119.44,0.328
119.77,0.315
120.1,0.301
120.44,0.315
120.77,0.318
121.1,0.315
121.44,0.307
121.77,0.3
122.1,0.316
122.44,0.295
122.77,0.306
123.1,0.317
123.44,0.309
123.77,0.308
124.1,0.307
124.44,0.31
124.77,0.308
125.1,0.307
125.44,0.296
125.77,0.311
126.1,0.303
126.44,0.302
126.77,0.297
127.1,0.29
127.44,0.295
127.77,0.297
128.1,0.295
128.44,0.265
128.77,0.243
129.1,0.3
129.44,0.298
129.77,0.309
130.1,0.292
130.44,0.287
130.77,0.282
131.1,0.293
131.44,0.294
131.77,0.279
132.1,0.263
132.44,0.294
132.77,0.276
133.1,0.296
133.44,0.281
133.77,0.276
134.12,0.284
134.45,0.283
134.79,0.271
135.12,0.277
135.45,0.283
135.79,0.283
136.12,0.276
136.45,0.272
136.79,0.274
137.12,0.269
137.45,0.278
137.79,0.285
138.12,0.263
138.45,0.261
138.79,0.233
139.12,0.229
139.45,0.27
139.79,0.259
140.12,0.247
140.45,0.268
140.79,0.27
141.12,0.277
141.45,0.27
141.79,0.262
142.12,0.256
142.45,0.249
142.79,0.267
143.12,0.273
143.45,0.256
143.79,0.239
144.12,0.229
144.45,0.256
144.79,0.257
145.12,0.256
145.45,0.257
145.79,0.239
146.12,0.244
146.45,0.239
146.79,0.256
147.12,0.247
147.45,0.237
147.79,0.253
148.12,0.251
148.45,0.247
148.79,0.259
149.12,0.246
149.45,0.241
149.79,0.238
150.12,0.251
150.45,0.249
150.79,0.246
151.12,0.237
151.45,0.237
151.79,0.253
152.12,0.245
152.45,0.231
152.79,0.248
153.12,0.23
153.45,0.239
153.79,0.231
154.12,0.223
154.45,0.24
154.79,0.233
155.12,0.235
155.45,0.236
155.79,0.236
156.12,0.238
156.45,0.236
156.79,0.229
157.12,0.232
157.45,0.209
157.79,0.173
158.12,0.227
158.45,0.226
158.79,0.234
159.12,0.228
159.45,0.227
159.79,0.224
160.12,0.223
160.45,0.225
160.79,0.223
161.12,0.221
161.45,0.224
161.79,0.22
162.12,0.218
162.45,0.22
162.79,0.227
163.12,0.226
163.45,0.219
163.79,0.226
164.12,0.219
164.45,0.213
164.79,0.215
165.12,0.22
165.45,0.213
165.79,0.211
166.12,0.215
166.45,0.207
166.79,0.215
167.12,0.212
167.45,0.218
167.79,0.182
168.12,0.164
168.45,0.207
168.79,0.215
169.12,0.207
169.45,0.205
169.79,0.209
170.12,0.197
170.45,0.215
170.79,0.198
171.12,0.209
171.45,0.22
171.79,0.208
172.12,0.199
172.45,0.2
172.79,0.205
173.12,0.196
173.45,0.202
173.79,0.198
174.14,0.189
174.47,0.202
174.8,0.214
175.14,0.195
175.47,0.195
175.8,0.194
176.14,0.195
176.47,0.196
176.8,0.194
177.14,0.188
177.47,0.195
177.8,0.196
178.14,0.157
178.47,0.152
178.8,0.19
179.14,0.191
179.47,0.197
179.8,0.195
180.14,0.181
180.47,0.197
180.8,0.193
181.14,0.188
181.47,0.187
181.8,0.187
182.14,0.182
182.47,0.19
182.8,0.193
183.14,0.183
183.47,0.195
183.8,0.185
184.14,0.183
184.47,0.179
184.8,0.181
185.14,0.184
185.47,0.176
185.8,0.182
186.14,0.159
186.47,0.184
186.8,0.195
187.14,0.184
187.47,0.185
187.8,0.185
188.14,0.174
188.47,0.163
188.8,0.148
189.14,0.172
189.47,0.174
189.8,0.179
190.14,0.184
190.47,0.178
190.8,0.178
191.14,0.173
191.47,0.167
191.8,0.175
192.14,0.088
192.47,0.174
192.8,0.166
193.14,0.176
193.47,0.165
193.8,0.167
194.14,0.167
194.47,0.171
194.8,0.168
195.14,0.175
195.47,0.183
195.8,0.167
196.14,0.162
196.47,0.164
196.8,0.167
197.14,0.161
197.47,0.168
197.8,0.159
198.14,0.16
198.47,0.165
198.8,0.17
199.14,0.141
199.47,0.16
199.8,0.159
200.14,0.163
200.47,0.159
200.8,0.159
201.14,0.166
201.47,0.157
201.8,0.159
202.14,0.161
202.47,0.164
202.8,0.156
203.14,0.157
203.47,0.157
203.8,0.158
204.14,0.162
204.47,0.161
204.8,0.159
205.14,0.151
205.47,0.163
205.8,0.176
206.14,0.156
206.47,0.155
206.8,0.158
207.14,0.14
207.47,0.137
207.8,0.149
208.14,0.146
208.47,0.15
208.8,0.15
209.14,0.109
209.47,0.144
209.8,0.16
210.14,0.151
210.47,0.156
210.8,0.149
211.14,0.152
211.47,0.147
211.8,0.152
212.14,0.139
212.47,0.152
212.8,0.164
213.15,0.144
213.49,0.152
213.82,0.156
214.15,0.155
214.49,0.143
214.82,0.138
215.15,0.143
215.49,0.151
215.82,0.154
216.15,0.157
216.49,0.147
216.82,0.137
217.15,0.144
217.49,0.151
217.82,0.144
218.15,0.154
218.49,0.136
218.82,0.144
219.15,0.135
219.49,0.126
219.82,0.126
220.15,0.141
220.49,0.145
220.82,0.137
221.15,0.137
221.49,0.133
221.82,0.141
222.15,0.149
222.49,0.131
222.82,0.13
223.15,0.128
223.49,0.144
223.82,0.134
224.15,0.129
224.49,0.131
224.82,0.132
225.15,0.137
225.49,0.14
225.82,0.139
226.15,0.137
226.49,0.135
226.82,0.128
227.15,0.135
227.49,0.131
227.82,0.144
228.15,0.131
228.49,0.127
228.82,0.135
229.15,0.131
229.49,0.131
229.82,0.131
230.15,0.126
230.49,0.136
230.82,0.148
231.15,0.114
231.49,0.11
231.82,0.108
232.15,0.132
232.49,0.146
232.82,0.149
233.15,0.136
233.49,0.124
233.82,0.131
234.15,0.132
234.49,0.132
234.82,0.124
235.15,0.133
235.49,0.129
235.82,0.121
236.15,0.127
236.49,0.128
236.82,0.13
237.15,0.124
237.49,0.131
237.82,0.129
238.15,0.124
238.49,0.127
238.82,0.126
239.15,0.12
239.49,0.126
239.82,0.125
240.15,0.124
240.49,0.124
240.82,0.123
241.15,0.127
241.49,0.122
241.82,0.131
242.15,0.135
242.49,0.121
242.82,0.128
243.15,0.108
243.49,0.108
243.82,0.077
244.15,0.123
244.49,0.119
244.82,0.125
245.15,0.121
245.49,0.117
245.82,0.124
246.15,0.114
246.49,0.12
246.82,0.115
247.15,0.109
247.49,0.116
247.82,0.119
248.15,0.122
248.49,0.111
248.82,0.126
249.15,0.12
249.49,0.127
249.82,0.12
250.15,0.121
250.49,0.122
250.82,0.112
251.15,0.112
251.49,0.122
251.82,0.126
252.17,0.12
252.5,0.118
252.84,0.112
253.17,0.111
253.5,0.116
253.84,0.084
254.17,0.075
254.5,0.109
254.84,0.115
255.17,0.113
255.5,0.119
255.84,0.118
256.17,0.112
256.5,0.12
256.84,0.112
257.17,0.124
257.5,0.135
257.84,0.11
258.17,0.116
258.5,0.109
258.84,0.12
259.17,0.112
259.5,0.111
259.84,0.118
260.17,0.111
260.5,0.112
260.84,0.114
261.17,0.103
261.5,0.107
261.84,0.109
262.17,0.111
262.5,0.108
262.84,0.113
263.17,0.107
263.5,0.116
263.84,0.107
264.17,-0.002
264.5,0.068
264.84,0.108
265.17,0.1
265.5,0.113
265.84,0.107
266.17,0.106
266.5,0.114
266.84,0.104
267.17,0.096
267.5,0.109
267.84,0.122
268.17,0.104
268.5,0.116
268.84,0.098
269.17,0.104
269.5,0.104
269.84,0.104
270.17,0.1
270.5,0.111
270.84,0.1
271.17,0.089
271.5,0.095
271.84,0.101
272.17,0.099
272.5,0.104
272.84,0.105
273.17,0.105
273.5,0.103
273.84,0.097
274.17,0.105
274.5,0.067
274.84,0.076
275.17,0.099
275.5,0.104
275.84,0.103
276.17,0.096
276.5,0.102
276.84,0.103
277.17,0.104
277.5,0.101
277.84,0.1
278.17,0.025
278.5,0.096
278.84,0.099
279.17,0.105
279.5,0.099
279.84,0.101
280.17,0.099
280.5,0.095
280.84,0.102
281.17,0.096
281.5,0.03
281.84,0.092
282.17,0.097
282.5,0.1
282.84,0.098
283.17,0.1
283.5,0.094
283.84,0.098
284.17,0.101
284.5,0.095
284.84,0.055
285.17,0.073
285.5,0.094
285.84,0.105
286.17,0.095
286.5,0.087
286.84,0.095
287.17,0.098
287.5,0.097
287.84,0.097
288.17,0.095
288.5,0.031
288.84,0.087
289.17,0.103
289.5,0.099
289.84,0.096
290.17,0.092
290.5,0.098
290.84,0.098
291.17,0.096
291.5,0.096
291.84,0.022
292.19,0.094
292.52,0.089
292.85,0.096
293.19,0.088
293.52,0.09
293.85,0.09
294.19,0.096
294.52,0.09
294.85,0.095
295.19,0.025
295.52,0.079
295.85,0.094
296.19,0.09
296.52,0.083
296.85,0.085
297.19,0.092
297.52,0.088
297.85,0.091
298.19,0.09
298.52,0.085
298.85,0.027
299.19,0.098
299.52,0.092
299.85,0.095
300.19,0.085
300.52,0.094
300.85,0.094
301.19,0.09
301.52,0.085
301.85,0.088
302.19,0.022
302.52,0.081
302.85,0.088
303.19,0.083
303.52,0.088
303.85,0.081
304.19,0.089
304.52,0.081
304.85,0.091
305.19,0.087
305.52,0.01
305.85,0.071
306.19,0.084
306.52,0.086
306.85,0.083
307.19,0.086
307.52,0.09
307.85,0.075
308.19,0.085
308.52,0.083
308.85,0.063
309.19,0.035
309.52,0.079
309.85,0.085
310.19,0.085
310.52,0.082
310.85,0.077
311.19,0.081
311.52,0.078
311.85,0.086
